Timestamp,SpanId,ParentSpanId,TraceId,SpanName,DurationMs,Success,PromptVersion,TestName,TotalTokens,PromptTokens,CompletionTokens
2026-07-05 11:36:59.489815+00:00,6d9df5b12bec72d1,26ba01c27bec054d,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,13381,True,,,,,
2026-07-05 11:36:59.488818+00:00,26ba01c27bec054d,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_winter-hiking,13382,True,v4_optimized_concise,winter-hiking,1772,86,1686
2026-07-05 11:36:48.991457+00:00,229b79edc11a3a70,7bb94850bdea856e,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,10497,True,,,,,
2026-07-05 11:36:48.991457+00:00,7bb94850bdea856e,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_trail-difficulty,10497,True,v4_optimized_concise,trail-difficulty,1500,91,1409
2026-07-05 11:36:35.139308+00:00,8afe40e2177df750,ce16fe7798ccafb3,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,13852,True,,,,,
2026-07-05 11:36:35.138309+00:00,ce16fe7798ccafb3,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_three-day-backpacking,13853,True,v4_optimized_concise,three-day-backpacking,1822,94,1728
2026-07-05 11:36:20.699160+00:00,84e6bbcfa3a05498,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_overnight-camping,14439,True,v4_optimized_concise,overnight-camping,1669,82,1587
2026-07-05 11:36:20.699160+00:00,4a36796826f1ac52,84e6bbcfa3a05498,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,14439,True,,,,,
2026-07-05 11:36:13.619978+00:00,24d459b534e3eaad,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_day-hike-gear,7079,True,v4_optimized_concise,day-hike-gear,974,86,888
2026-07-05 11:36:13.619978+00:00,aaa83c84d56acb19,24d459b534e3eaad,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,7078,True,,,,,
2026-07-05 11:36:13.619978+00:00,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,b0ecaa0ea492986eb548515535ddbac6,trail_guide_v4_optimized_concise,59250,True,v4_optimized_concise,,,,
2026-07-05 11:36:00.742718+00:00,d63ffeddfae59ad5,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_winter-hiking,12852,True,v3,winter-hiking,1930,164,1766
2026-07-05 11:36:00.742718+00:00,493453e08d0524f8,d63ffeddfae59ad5,3c93250d5f7ac185291f29ef042a63b2,chat gpt-5.1,12852,True,,,,,
2026-07-05 11:35:49.671457+00:00,9338544e9048c6f5,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_trail-difficulty,11071,True,v3,trail-difficulty,1681,169,1512
